,Survived,Sex,Age,Fare,Embarked_0,Embarked_1,Embarked_2,Pclass_1,Pclass_2,Pclass_3,FamilySize
0,0,1,22.0,7.25,0,0,1,0,0,1,2
1,1,0,38.0,71.2833,1,0,0,1,0,0,2
2,1,0,26.0,7.925,0,0,1,0,0,1,1
3,1,0,35.0,53.1,0,0,1,1,0,0,2
4,0,1,35.0,8.05,0,0,1,0,0,1,1
5,0,1,29.6991176471,8.4583,0,1,0,0,0,1,1
6,0,1,54.0,51.8625,0,0,1,1,0,0,1
7,0,1,2.0,21.075,0,0,1,0,0,1,5
8,1,0,27.0,11.1333,0,0,1,0,0,1,3
9,1,0,14.0,30.0708,1,0,0,0,1,0,2
10,1,0,4.0,16.7,0,0,1,0,0,1,3
11,1,0,58.0,26.55,0,0,1,1,0,0,1
12,0,1,20.0,8.05,0,0,1,0,0,1,1
13,0,1,39.0,31.275,0,0,1,0,0,1,7
14,0,0,14.0,7.8542,0,0,1,0,0,1,1
15,1,0,55.0,16.0,0,0,1,0,1,0,1
16,0,1,2.0,29.125,0,1,0,0,0,1,6
17,1,1,29.6991176471,13.0,0,0,1,0,1,0,1
18,0,0,31.0,18.0,0,0,1,0,0,1,2
19,1,0,29.6991176471,7.225,1,0,0,0,0,1,1
20,0,1,35.0,26.0,0,0,1,0,1,0,1
21,1,1,34.0,13.0,0,0,1,0,1,0,1
22,1,0,15.0,8.0292,0,1,0,0,0,1,1
23,1,1,28.0,35.5,0,0,1,1,0,0,1
24,0,0,8.0,21.075,0,0,1,0,0,1,5
25,1,0,38.0,31.3875,0,0,1,0,0,1,7
26,0,1,29.6991176471,7.225,1,0,0,0,0,1,1
27,0,1,19.0,263.0,0,0,1,1,0,0,6
28,1,0,29.6991176471,7.8792,0,1,0,0,0,1,1
29,0,1,29.6991176471,7.8958,0,0,1,0,0,1,1
30,0,1,40.0,27.7208,1,0,0,1,0,0,1
31,1,0,29.6991176471,146.5208,1,0,0,1,0,0,2
32,1,0,29.6991176471,7.75,0,1,0,0,0,1,1
33,0,1,66.0,10.5,0,0,1,0,1,0,1
34,0,1,28.0,82.1708,1,0,0,1,0,0,2
35,0,1,42.0,52.0,0,0,1,1,0,0,2
36,1,1,29.6991176471,7.2292,1,0,0,0,0,1,1
37,0,1,21.0,8.05,0,0,1,0,0,1,1
38,0,0,18.0,18.0,0,0,1,0,0,1,3
39,1,0,14.0,11.2417,1,0,0,0,0,1,2
40,0,0,40.0,9.475,0,0,1,0,0,1,2
41,0,0,27.0,21.0,0,0,1,0,1,0,2
42,0,1,29.6991176471,7.8958,1,0,0,0,0,1,1
43,1,0,3.0,41.5792,1,0,0,0,1,0,4
44,1,0,19.0,7.8792,0,1,0,0,0,1,1
45,0,1,29.6991176471,8.05,0,0,1,0,0,1,1
46,0,1,29.6991176471,15.5,0,1,0,0,0,1,2
47,1,0,29.6991176471,7.75,0,1,0,0,0,1,1
48,0,1,29.6991176471,21.6792,1,0,0,0,0,1,3
49,0,0,18.0,17.8,0,0,1,0,0,1,2
50,0,1,7.0,39.6875,0,0,1,0,0,1,6
51,0,1,21.0,7.8,0,0,1,0,0,1,1
52,1,0,49.0,76.7292,1,0,0,1,0,0,2
53,1,0,29.0,26.0,0,0,1,0,1,0,2
54,0,1,65.0,61.9792,1,0,0,1,0,0,2
55,1,1,29.6991176471,35.5,0,0,1,1,0,0,1
56,1,0,21.0,10.5,0,0,1,0,1,0,1
57,0,1,28.5,7.2292,1,0,0,0,0,1,1
58,1,0,5.0,27.75,0,0,1,0,1,0,4
59,0,1,11.0,46.9,0,0,1,0,0,1,8
60,0,1,22.0,7.2292,1,0,0,0,0,1,1
61,1,0,38.0,80.0,0,0,1,1,0,0,1
62,0,1,45.0,83.475,0,0,1,1,0,0,2
63,0,1,4.0,27.9,0,0,1,0,0,1,6
64,0,1,29.6991176471,27.7208,1,0,0,1,0,0,1
65,1,1,29.6991176471,15.2458,1,0,0,0,0,1,3
66,1,0,29.0,10.5,0,0,1,0,1,0,1
67,0,1,19.0,8.1583,0,0,1,0,0,1,1
68,1,0,17.0,7.925,0,0,1,0,0,1,7
69,0,1,26.0,8.6625,0,0,1,0,0,1,3
70,0,1,32.0,10.5,0,0,1,0,1,0,1
71,0,0,16.0,46.9,0,0,1,0,0,1,8
72,0,1,21.0,73.5,0,0,1,0,1,0,1
73,0,1,26.0,14.4542,1,0,0,0,0,1,2
74,1,1,32.0,56.4958,0,0,1,0,0,1,1
75,0,1,25.0,7.65,0,0,1,0,0,1,1
76,0,1,29.6991176471,7.8958,0,0,1,0,0,1,1
77,0,1,29.6991176471,8.05,0,0,1,0,0,1,1
78,1,1,0.83,29.0,0,0,1,0,1,0,3
79,1,0,30.0,12.475,0,0,1,0,0,1,1
80,0,1,22.0,9.0,0,0,1,0,0,1,1
81,1,1,29.0,9.5,0,0,1,0,0,1,1
82,1,0,29.6991176471,7.7875,0,1,0,0,0,1,1
83,0,1,28.0,47.1,0,0,1,1,0,0,1
84,1,0,17.0,10.5,0,0,1,0,1,0,1
85,1,0,33.0,15.85,0,0,1,0,0,1,4
86,0,1,16.0,34.375,0,0,1,0,0,1,5
87,0,1,29.6991176471,8.05,0,0,1,0,0,1,1
88,1,0,23.0,263.0,0,0,1,1,0,0,6
89,0,1,24.0,8.05,0,0,1,0,0,1,1
90,0,1,29.0,8.05,0,0,1,0,0,1,1
91,0,1,20.0,7.8542,0,0,1,0,0,1,1
92,0,1,46.0,61.175,0,0,1,1,0,0,2
93,0,1,26.0,20.575,0,0,1,0,0,1,4
94,0,1,59.0,7.25,0,0,1,0,0,1,1
95,0,1,29.6991176471,8.05,0,0,1,0,0,1,1
96,0,1,71.0,34.6542,1,0,0,1,0,0,1
97,1,1,23.0,63.3583,1,0,0,1,0,0,2
98,1,0,34.0,23.0,0,0,1,0,1,0,2
99,0,1,34.0,26.0,0,0,1,0,1,0,2
100,0,0,28.0,7.8958,0,0,1,0,0,1,1
101,0,1,29.6991176471,7.8958,0,0,1,0,0,1,1
102,0,1,21.0,77.2875,0,0,1,1,0,0,2
103,0,1,33.0,8.6542,0,0,1,0,0,1,1
104,0,1,37.0,7.925,0,0,1,0,0,1,3
105,0,1,28.0,7.8958,0,0,1,0,0,1,1
106,1,0,21.0,7.65,0,0,1,0,0,1,1
107,1,1,29.6991176471,7.775,0,0,1,0,0,1,1
108,0,1,38.0,7.8958,0,0,1,0,0,1,1
109,1,0,29.6991176471,24.15,0,1,0,0,0,1,2
110,0,1,47.0,52.0,0,0,1,1,0,0,1
111,0,0,14.5,14.4542,1,0,0,0,0,1,2
112,0,1,22.0,8.05,0,0,1,0,0,1,1
113,0,0,20.0,9.825,0,0,1,0,0,1,2
114,0,0,17.0,14.4583,1,0,0,0,0,1,1
115,0,1,21.0,7.925,0,0,1,0,0,1,1
116,0,1,70.5,7.75,0,1,0,0,0,1,1
117,0,1,29.0,21.0,0,0,1,0,1,0,2
118,0,1,24.0,247.5208,1,0,0,1,0,0,2
119,0,0,2.0,31.275,0,0,1,0,0,1,7
120,0,1,21.0,73.5,0,0,1,0,1,0,3
121,0,1,29.6991176471,8.05,0,0,1,0,0,1,1
122,0,1,32.5,30.0708,1,0,0,0,1,0,2
123,1,0,32.5,13.0,0,0,1,0,1,0,1
124,0,1,54.0,77.2875,0,0,1,1,0,0,2
125,1,1,12.0,11.2417,1,0,0,0,0,1,2
126,0,1,29.6991176471,7.75,0,1,0,0,0,1,1
127,1,1,24.0,7.1417,0,0,1,0,0,1,1
128,1,0,29.6991176471,22.3583,1,0,0,0,0,1,3
129,0,1,45.0,6.975,0,0,1,0,0,1,1
130,0,1,33.0,7.8958,1,0,0,0,0,1,1
131,0,1,20.0,7.05,0,0,1,0,0,1,1
132,0,0,47.0,14.5,0,0,1,0,0,1,2
133,1,0,29.0,26.0,0,0,1,0,1,0,2
134,0,1,25.0,13.0,0,0,1,0,1,0,1
135,0,1,23.0,15.0458,1,0,0,0,1,0,1
136,1,0,19.0,26.2833,0,0,1,1,0,0,3
137,0,1,37.0,53.1,0,0,1,1,0,0,2
138,0,1,16.0,9.2167,0,0,1,0,0,1,1
139,0,1,24.0,79.2,1,0,0,1,0,0,1
140,0,0,29.6991176471,15.2458,1,0,0,0,0,1,3
141,1,0,22.0,7.75,0,0,1,0,0,1,1
142,1,0,24.0,15.85,0,0,1,0,0,1,2
143,0,1,19.0,6.75,0,1,0,0,0,1,1
144,0,1,18.0,11.5,0,0,1,0,1,0,1
145,0,1,19.0,36.75,0,0,1,0,1,0,3
146,1,1,27.0,7.7958,0,0,1,0,0,1,1
147,0,0,9.0,34.375,0,0,1,0,0,1,5
148,0,1,36.5,26.0,0,0,1,0,1,0,3
149,0,1,42.0,13.0,0,0,1,0,1,0,1
150,0,1,51.0,12.525,0,0,1,0,1,0,1
151,1,0,22.0,66.6,0,0,1,1,0,0,2
152,0,1,55.5,8.05,0,0,1,0,0,1,1
153,0,1,40.5,14.5,0,0,1,0,0,1,3
154,0,1,29.6991176471,7.3125,0,0,1,0,0,1,1
155,0,1,51.0,61.3792,1,0,0,1,0,0,2
156,1,0,16.0,7.7333,0,1,0,0,0,1,1
157,0,1,30.0,8.05,0,0,1,0,0,1,1
158,0,1,29.6991176471,8.6625,0,0,1,0,0,1,1
159,0,1,29.6991176471,69.55,0,0,1,0,0,1,11
160,0,1,44.0,16.1,0,0,1,0,0,1,2
161,1,0,40.0,15.75,0,0,1,0,1,0,1
162,0,1,26.0,7.775,0,0,1,0,0,1,1
163,0,1,17.0,8.6625,0,0,1,0,0,1,1
164,0,1,1.0,39.6875,0,0,1,0,0,1,6
165,1,1,9.0,20.525,0,0,1,0,0,1,3
166,1,0,29.6991176471,55.0,0,0,1,1,0,0,2
167,0,0,45.0,27.9,0,0,1,0,0,1,6
168,0,1,29.6991176471,25.925,0,0,1,1,0,0,1
169,0,1,28.0,56.4958,0,0,1,0,0,1,1
170,0,1,61.0,33.5,0,0,1,1,0,0,1
171,0,1,4.0,29.125,0,1,0,0,0,1,6
172,1,0,1.0,11.1333,0,0,1,0,0,1,3
173,0,1,21.0,7.925,0,0,1,0,0,1,1
174,0,1,56.0,30.6958,1,0,0,1,0,0,1
175,0,1,18.0,7.8542,0,0,1,0,0,1,3
176,0,1,29.6991176471,25.4667,0,0,1,0,0,1,5
177,0,0,50.0,28.7125,1,0,0,1,0,0,1
178,0,1,30.0,13.0,0,0,1,0,1,0,1
179,0,1,36.0,0.0,0,0,1,0,0,1,1
180,0,0,29.6991176471,69.55,0,0,1,0,0,1,11
181,0,1,29.6991176471,15.05,1,0,0,0,1,0,1
182,0,1,9.0,31.3875,0,0,1,0,0,1,7
183,1,1,1.0,39.0,0,0,1,0,1,0,4
184,1,0,4.0,22.025,0,0,1,0,0,1,3
185,0,1,29.6991176471,50.0,0,0,1,1,0,0,1
186,1,0,29.6991176471,15.5,0,1,0,0,0,1,2
187,1,1,45.0,26.55,0,0,1,1,0,0,1
188,0,1,40.0,15.5,0,1,0,0,0,1,3
189,0,1,36.0,7.8958,0,0,1,0,0,1,1
190,1,0,32.0,13.0,0,0,1,0,1,0,1
191,0,1,19.0,13.0,0,0,1,0,1,0,1
192,1,0,19.0,7.8542,0,0,1,0,0,1,2
193,1,1,3.0,26.0,0,0,1,0,1,0,3
194,1,0,44.0,27.7208,1,0,0,1,0,0,1
195,1,0,58.0,146.5208,1,0,0,1,0,0,1
196,0,1,29.6991176471,7.75,0,1,0,0,0,1,1
197,0,1,42.0,8.4042,0,0,1,0,0,1,2
198,1,0,29.6991176471,7.75,0,1,0,0,0,1,1
199,0,0,24.0,13.0,0,0,1,0,1,0,1
200,0,1,28.0,9.5,0,0,1,0,0,1,1
201,0,1,29.6991176471,69.55,0,0,1,0,0,1,11
202,0,1,34.0,6.4958,0,0,1,0,0,1,1
203,0,1,45.5,7.225,1,0,0,0,0,1,1
204,1,1,18.0,8.05,0,0,1,0,0,1,1
205,0,0,2.0,10.4625,0,0,1,0,0,1,2
206,0,1,32.0,15.85,0,0,1,0,0,1,2
207,1,1,26.0,18.7875,1,0,0,0,0,1,1
208,1,0,16.0,7.75,0,1,0,0,0,1,1
209,1,1,40.0,31.0,1,0,0,1,0,0,1
210,0,1,24.0,7.05,0,0,1,0,0,1,1
211,1,0,35.0,21.0,0,0,1,0,1,0,1
212,0,1,22.0,7.25,0,0,1,0,0,1,1
213,0,1,30.0,13.0,0,0,1,0,1,0,1
214,0,1,29.6991176471,7.75,0,1,0,0,0,1,2
215,1,0,31.0,113.275,1,0,0,1,0,0,2
216,1,0,27.0,7.925,0,0,1,0,0,1,1
217,0,1,42.0,27.0,0,0,1,0,1,0,2
218,1,0,32.0,76.2917,1,0,0,1,0,0,1
219,0,1,30.0,10.5,0,0,1,0,1,0,1
220,1,1,16.0,8.05,0,0,1,0,0,1,1
221,0,1,27.0,13.0,0,0,1,0,1,0,1
222,0,1,51.0,8.05,0,0,1,0,0,1,1
223,0,1,29.6991176471,7.8958,0,0,1,0,0,1,1
224,1,1,38.0,90.0,0,0,1,1,0,0,2
225,0,1,22.0,9.35,0,0,1,0,0,1,1
226,1,1,19.0,10.5,0,0,1,0,1,0,1
227,0,1,20.5,7.25,0,0,1,0,0,1,1
228,0,1,18.0,13.0,0,0,1,0,1,0,1
229,0,0,29.6991176471,25.4667,0,0,1,0,0,1,5
230,1,0,35.0,83.475,0,0,1,1,0,0,2
231,0,1,29.0,7.775,0,0,1,0,0,1,1
232,0,1,59.0,13.5,0,0,1,0,1,0,1
233,1,0,5.0,31.3875,0,0,1,0,0,1,7
234,0,1,24.0,10.5,0,0,1,0,1,0,1
235,0,0,29.6991176471,7.55,0,0,1,0,0,1,1
236,0,1,44.0,26.0,0,0,1,0,1,0,2
237,1,0,8.0,26.25,0,0,1,0,1,0,3
238,0,1,19.0,10.5,0,0,1,0,1,0,1
239,0,1,33.0,12.275,0,0,1,0,1,0,1
240,0,0,29.6991176471,14.4542,1,0,0,0,0,1,2
241,1,0,29.6991176471,15.5,0,1,0,0,0,1,2
242,0,1,29.0,10.5,0,0,1,0,1,0,1
243,0,1,22.0,7.125,0,0,1,0,0,1,1
244,0,1,30.0,7.225,1,0,0,0,0,1,1
245,0,1,44.0,90.0,0,1,0,1,0,0,3
246,0,0,25.0,7.775,0,0,1,0,0,1,1
247,1,0,24.0,14.5,0,0,1,0,1,0,3
248,1,1,37.0,52.5542,0,0,1,1,0,0,3
249,0,1,54.0,26.0,0,0,1,0,1,0,2
250,0,1,29.6991176471,7.25,0,0,1,0,0,1,1
251,0,0,29.0,10.4625,0,0,1,0,0,1,3
252,0,1,62.0,26.55,0,0,1,1,0,0,1
253,0,1,30.0,16.1,0,0,1,0,0,1,2
254,0,0,41.0,20.2125,0,0,1,0,0,1,3
255,1,0,29.0,15.2458,1,0,0,0,0,1,3
256,1,0,29.6991176471,79.2,1,0,0,1,0,0,1
257,1,0,30.0,86.5,0,0,1,1,0,0,1
258,1,0,35.0,512.3292,1,0,0,1,0,0,1
259,1,0,50.0,26.0,0,0,1,0,1,0,2
260,0,1,29.6991176471,7.75,0,1,0,0,0,1,1
261,1,1,3.0,31.3875,0,0,1,0,0,1,7
262,0,1,52.0,79.65,0,0,1,1,0,0,3
263,0,1,40.0,0.0,0,0,1,1,0,0,1
264,0,0,29.6991176471,7.75,0,1,0,0,0,1,1
265,0,1,36.0,10.5,0,0,1,0,1,0,1
266,0,1,16.0,39.6875,0,0,1,0,0,1,6
267,1,1,25.0,7.775,0,0,1,0,0,1,2
268,1,0,58.0,153.4625,0,0,1,1,0,0,2
269,1,0,35.0,135.6333,0,0,1,1,0,0,1
270,0,1,29.6991176471,31.0,0,0,1,1,0,0,1
271,1,1,25.0,0.0,0,0,1,0,0,1,1
272,1,0,41.0,19.5,0,0,1,0,1,0,2
273,0,1,37.0,29.7,1,0,0,1,0,0,2
274,1,0,29.6991176471,7.75,0,1,0,0,0,1,1
275,1,0,63.0,77.9583,0,0,1,1,0,0,2
276,0,0,45.0,7.75,0,0,1,0,0,1,1
277,0,1,29.6991176471,0.0,0,0,1,0,1,0,1
278,0,1,7.0,29.125,0,1,0,0,0,1,6
279,1,0,35.0,20.25,0,0,1,0,0,1,3
280,0,1,65.0,7.75,0,1,0,0,0,1,1
281,0,1,28.0,7.8542,0,0,1,0,0,1,1
282,0,1,16.0,9.5,0,0,1,0,0,1,1
283,1,1,19.0,8.05,0,0,1,0,0,1,1
284,0,1,29.6991176471,26.0,0,0,1,1,0,0,1
285,0,1,33.0,8.6625,1,0,0,0,0,1,1
286,1,1,30.0,9.5,0,0,1,0,0,1,1
287,0,1,22.0,7.8958,0,0,1,0,0,1,1
288,1,1,42.0,13.0,0,0,1,0,1,0,1
289,1,0,22.0,7.75,0,1,0,0,0,1,1
290,1,0,26.0,78.85,0,0,1,1,0,0,1
291,1,0,19.0,91.0792,1,0,0,1,0,0,2
292,0,1,36.0,12.875,1,0,0,0,1,0,1
293,0,0,24.0,8.85,0,0,1,0,0,1,1
294,0,1,24.0,7.8958,0,0,1,0,0,1,1
295,0,1,29.6991176471,27.7208,1,0,0,1,0,0,1
296,0,1,23.5,7.2292,1,0,0,0,0,1,1
297,0,0,2.0,151.55,0,0,1,1,0,0,4
298,1,1,29.6991176471,30.5,0,0,1,1,0,0,1
299,1,0,50.0,247.5208,1,0,0,1,0,0,2
300,1,0,29.6991176471,7.75,0,1,0,0,0,1,1
301,1,1,29.6991176471,23.25,0,1,0,0,0,1,3
302,0,1,19.0,0.0,0,0,1,0,0,1,1
303,1,0,29.6991176471,12.35,0,1,0,0,1,0,1
304,0,1,29.6991176471,8.05,0,0,1,0,0,1,1
305,1,1,0.92,151.55,0,0,1,1,0,0,4
306,1,0,29.6991176471,110.8833,1,0,0,1,0,0,1
307,1,0,17.0,108.9,1,0,0,1,0,0,2
308,0,1,30.0,24.0,1,0,0,0,1,0,2
309,1,0,30.0,56.9292,1,0,0,1,0,0,1
310,1,0,24.0,83.1583,1,0,0,1,0,0,1
311,1,0,18.0,262.375,1,0,0,1,0,0,5
312,0,0,26.0,26.0,0,0,1,0,1,0,3
313,0,1,28.0,7.8958,0,0,1,0,0,1,1
314,0,1,43.0,26.25,0,0,1,0,1,0,3
315,1,0,26.0,7.8542,0,0,1,0,0,1,1
316,1,0,24.0,26.0,0,0,1,0,1,0,2
317,0,1,54.0,14.0,0,0,1,0,1,0,1
318,1,0,31.0,164.8667,0,0,1,1,0,0,3
319,1,0,40.0,134.5,1,0,0,1,0,0,3
320,0,1,22.0,7.25,0,0,1,0,0,1,1
321,0,1,27.0,7.8958,0,0,1,0,0,1,1
322,1,0,30.0,12.35,0,1,0,0,1,0,1
323,1,0,22.0,29.0,0,0,1,0,1,0,3
324,0,1,29.6991176471,69.55,0,0,1,0,0,1,11
325,1,0,36.0,135.6333,1,0,0,1,0,0,1
326,0,1,61.0,6.2375,0,0,1,0,0,1,1
327,1,0,36.0,13.0,0,0,1,0,1,0,1
328,1,0,31.0,20.525,0,0,1,0,0,1,3
329,1,0,16.0,57.9792,1,0,0,1,0,0,2
330,1,0,29.6991176471,23.25,0,1,0,0,0,1,3
331,0,1,45.5,28.5,0,0,1,1,0,0,1
332,0,1,38.0,153.4625,0,0,1,1,0,0,2
333,0,1,16.0,18.0,0,0,1,0,0,1,3
334,1,0,29.6991176471,133.65,0,0,1,1,0,0,2
335,0,1,29.6991176471,7.8958,0,0,1,0,0,1,1
336,0,1,29.0,66.6,0,0,1,1,0,0,2
337,1,0,41.0,134.5,1,0,0,1,0,0,1
338,1,1,45.0,8.05,0,0,1,0,0,1,1
339,0,1,45.0,35.5,0,0,1,1,0,0,1
340,1,1,2.0,26.0,0,0,1,0,1,0,3
341,1,0,24.0,263.0,0,0,1,1,0,0,6
342,0,1,28.0,13.0,0,0,1,0,1,0,1
343,0,1,25.0,13.0,0,0,1,0,1,0,1
344,0,1,36.0,13.0,0,0,1,0,1,0,1
345,1,0,24.0,13.0,0,0,1,0,1,0,1
346,1,0,40.0,13.0,0,0,1,0,1,0,1
347,1,0,29.6991176471,16.1,0,0,1,0,0,1,2
348,1,1,3.0,15.9,0,0,1,0,0,1,3
349,0,1,42.0,8.6625,0,0,1,0,0,1,1
350,0,1,23.0,9.225,0,0,1,0,0,1,1
351,0,1,29.6991176471,35.0,0,0,1,1,0,0,1
352,0,1,15.0,7.2292,1,0,0,0,0,1,3
353,0,1,25.0,17.8,0,0,1,0,0,1,2
354,0,1,29.6991176471,7.225,1,0,0,0,0,1,1
355,0,1,28.0,9.5,0,0,1,0,0,1,1
356,1,0,22.0,55.0,0,0,1,1,0,0,2
357,0,0,38.0,13.0,0,0,1,0,1,0,1
358,1,0,29.6991176471,7.8792,0,1,0,0,0,1,1
359,1,0,29.6991176471,7.8792,0,1,0,0,0,1,1
360,0,1,40.0,27.9,0,0,1,0,0,1,6
361,0,1,29.0,27.7208,1,0,0,0,1,0,2
362,0,0,45.0,14.4542,1,0,0,0,0,1,2
363,0,1,35.0,7.05,0,0,1,0,0,1,1
364,0,1,29.6991176471,15.5,0,1,0,0,0,1,2
365,0,1,30.0,7.25,0,0,1,0,0,1,1
366,1,0,60.0,75.25,1,0,0,1,0,0,2
367,1,0,29.6991176471,7.2292,1,0,0,0,0,1,1
368,1,0,29.6991176471,7.75,0,1,0,0,0,1,1
369,1,0,24.0,69.3,1,0,0,1,0,0,1
370,1,1,25.0,55.4417,1,0,0,1,0,0,2
371,0,1,18.0,6.4958,0,0,1,0,0,1,2
372,0,1,19.0,8.05,0,0,1,0,0,1,1
373,0,1,22.0,135.6333,1,0,0,1,0,0,1
374,0,0,3.0,21.075,0,0,1,0,0,1,5
375,1,0,29.6991176471,82.1708,1,0,0,1,0,0,2
376,1,0,22.0,7.25,0,0,1,0,0,1,1
377,0,1,27.0,211.5,1,0,0,1,0,0,3
378,0,1,20.0,4.0125,1,0,0,0,0,1,1
379,0,1,19.0,7.775,0,0,1,0,0,1,1
380,1,0,42.0,227.525,1,0,0,1,0,0,1
381,1,0,1.0,15.7417,1,0,0,0,0,1,3
382,0,1,32.0,7.925,0,0,1,0,0,1,1
383,1,0,35.0,52.0,0,0,1,1,0,0,2
384,0,1,29.6991176471,7.8958,0,0,1,0,0,1,1
385,0,1,18.0,73.5,0,0,1,0,1,0,1
386,0,1,1.0,46.9,0,0,1,0,0,1,8
387,1,0,36.0,13.0,0,0,1,0,1,0,1
388,0,1,29.6991176471,7.7292,0,1,0,0,0,1,1
389,1,0,17.0,12.0,1,0,0,0,1,0,1
390,1,1,36.0,120.0,0,0,1,1,0,0,4
391,1,1,21.0,7.7958,0,0,1,0,0,1,1
392,0,1,28.0,7.925,0,0,1,0,0,1,3
393,1,0,23.0,113.275,1,0,0,1,0,0,2
394,1,0,24.0,16.7,0,0,1,0,0,1,3
395,0,1,22.0,7.7958,0,0,1,0,0,1,1
396,0,0,31.0,7.8542,0,0,1,0,0,1,1
397,0,1,46.0,26.0,0,0,1,0,1,0,1
398,0,1,23.0,10.5,0,0,1,0,1,0,1
399,1,0,28.0,12.65,0,0,1,0,1,0,1
400,1,1,39.0,7.925,0,0,1,0,0,1,1
401,0,1,26.0,8.05,0,0,1,0,0,1,1
402,0,0,21.0,9.825,0,0,1,0,0,1,2
403,0,1,28.0,15.85,0,0,1,0,0,1,2
404,0,0,20.0,8.6625,0,0,1,0,0,1,1
405,0,1,34.0,21.0,0,0,1,0,1,0,2
406,0,1,51.0,7.75,0,0,1,0,0,1,1
407,1,1,3.0,18.75,0,0,1,0,1,0,3
408,0,1,21.0,7.775,0,0,1,0,0,1,1
409,0,0,29.6991176471,25.4667,0,0,1,0,0,1,5
410,0,1,29.6991176471,7.8958,0,0,1,0,0,1,1
411,0,1,29.6991176471,6.8583,0,1,0,0,0,1,1
412,1,0,33.0,90.0,0,1,0,1,0,0,2
413,0,1,29.6991176471,0.0,0,0,1,0,1,0,1
414,1,1,44.0,7.925,0,0,1,0,0,1,1
415,0,0,29.6991176471,8.05,0,0,1,0,0,1,1
416,1,0,34.0,32.5,0,0,1,0,1,0,3
417,1,0,18.0,13.0,0,0,1,0,1,0,3
418,0,1,30.0,13.0,0,0,1,0,1,0,1
419,0,0,10.0,24.15,0,0,1,0,0,1,3
420,0,1,29.6991176471,7.8958,1,0,0,0,0,1,1
421,0,1,21.0,7.7333,0,1,0,0,0,1,1
422,0,1,29.0,7.875,0,0,1,0,0,1,1
423,0,0,28.0,14.4,0,0,1,0,0,1,3
424,0,1,18.0,20.2125,0,0,1,0,0,1,3
425,0,1,29.6991176471,7.25,0,0,1,0,0,1,1
426,1,0,28.0,26.0,0,0,1,0,1,0,2
427,1,0,19.0,26.0,0,0,1,0,1,0,1
428,0,1,29.6991176471,7.75,0,1,0,0,0,1,1
429,1,1,32.0,8.05,0,0,1,0,0,1,1
430,1,1,28.0,26.55,0,0,1,1,0,0,1
431,1,0,29.6991176471,16.1,0,0,1,0,0,1,2
432,1,0,42.0,26.0,0,0,1,0,1,0,2
433,0,1,17.0,7.125,0,0,1,0,0,1,1
434,0,1,50.0,55.9,0,0,1,1,0,0,2
435,1,0,14.0,120.0,0,0,1,1,0,0,4
436,0,0,21.0,34.375,0,0,1,0,0,1,5
437,1,0,24.0,18.75,0,0,1,0,1,0,6
438,0,1,64.0,263.0,0,0,1,1,0,0,6
439,0,1,31.0,10.5,0,0,1,0,1,0,1
440,1,0,45.0,26.25,0,0,1,0,1,0,3
441,0,1,20.0,9.5,0,0,1,0,0,1,1
442,0,1,25.0,7.775,0,0,1,0,0,1,2
443,1,0,28.0,13.0,0,0,1,0,1,0,1
444,1,1,29.6991176471,8.1125,0,0,1,0,0,1,1
445,1,1,4.0,81.8583,0,0,1,1,0,0,3
